column,dtype,n_rows,n_missing,pct_missing,n_unique,is_key,min,max,mean,example_values
participant_id,object,634,0,0.0,634,True,,,,P001; P002; P003; P004; P005
datapipe_condition,float64,634,634,1.0,0,False,,,,
cell_idx,float64,634,634,1.0,0,False,,,,
r1_rt,float64,634,634,1.0,0,False,,,,
r2_rt,float64,634,634,1.0,0,False,,,,
r3_rt,float64,634,634,1.0,0,False,,,,
r4_rt,float64,634,634,1.0,0,False,,,,
r5_rt,float64,634,634,1.0,0,False,,,,
termination_reason,object,634,609,0.9605678233438486,2,False,,,,attention_check_failed; inactivity_timeout
open_speaker_strategy,object,634,436,0.6876971608832808,198,False,,,,"It was based on the wording they used; I wouldn't say I decided, but I assumed. If the treatments were described as effective for all or not effective for anyone I assumed it was a Scientist.; I put a positive spin on the term some as fact from the scientist; In the end I figured that the language they were using seemed to me to lean towards negativity rather being neutral or overly positive. Like instead of saying that the treatment was effective for most, they would say it was ineffective some. ; The way they use the wording"
r1_speaker_type,object,634,426,0.6719242902208202,3,False,,,,anti; pro; neutral
r2_speaker_type,object,634,426,0.6719242902208202,3,False,,,,neutral; pro; anti
r3_speaker_type,object,634,426,0.6719242902208202,3,False,,,,neutral; pro; anti
r4_speaker_type,object,634,426,0.6719242902208202,3,False,,,,neutral; anti; pro
r5_speaker_type,object,634,426,0.6719242902208202,3,False,,,,neutral; anti; pro
attention_speaker_type,object,634,426,0.6719242902208202,3,False,,,,anti; pro; neutral
open_estimation_strategy,object,634,398,0.6277602523659306,236,False,,,,"Each one used the ""most"" word, so I just estimated a percentage in 20% increments; Because his description gave me information about how many patients the treatment worked for. I used the words like some most or all to narrow down how effective the treatment could be.; I made sure to read the speakers descriptions very carefully and answered based my answer on that.; For all 100% for none 0% so pretty east to match ; converted as a percentage re the info and likelyhood provided prior"
open_feedback,object,634,369,0.582018927444795,184,False,,,,"The survey was easier to understand. no issues.; Everything was clear and precise, thanks!; no; Thanks tor the invite ; No further comments or feedback, thank you though!"
competence_framing,object,634,25,0.03943217665615142,5,False,,,,goal_pursuit_effectiveness; helpfulness; communicator; informativeness; goal_accomplishment
competence_score,float64,634,25,0.03943217665615142,88,False,0.0,100.0,66.03776683087028,
attention_check_passed,object,634,3,0.00473186119873817,2,False,,,,True; False
attention_effectiveness,float64,634,3,0.00473186119873817,15,False,0.0,100.0,98.4310618066561,
