column,dtype,n_rows,n_missing,pct_missing,n_unique,is_key,min,max,mean,example_values
participant_id,object,109,0,0.0,109,True,,,,P002; P003; P004; P005; P006
termination_reason,object,109,109,1.0,0,False,,,,
inf_r1_rt_approx,float64,109,109,1.0,0,False,,,,
persp_r1_rt_approx,float64,109,109,1.0,0,False,,,,
persm_r1_rt_approx,float64,109,109,1.0,0,False,,,,
inf_literal_alpha,object,109,109,1.0,0,False,,,,
persp_literal_alpha,object,109,109,1.0,0,False,,,,
persm_literal_alpha,object,109,109,1.0,0,False,,,,
attention_block_1_stimulus_variant,float64,109,100,0.9174311926605505,4,False,0.0,4.0,2.111111111111111,
attention_block_3_num_effective,float64,109,100,0.9174311926605505,4,False,0.0,5.0,2.3333333333333335,
attention_block_1_num_effective,float64,109,100,0.9174311926605505,5,False,0.0,5.0,3.2222222222222223,
attention_block_2_stimulus_variant,float64,109,100,0.9174311926605505,5,False,0.0,9.0,2.3333333333333335,
attention_block_2_num_effective,float64,109,100,0.9174311926605505,6,False,0.0,5.0,2.4444444444444446,
attention_block_3_stimulus_variant,float64,109,100,0.9174311926605505,6,False,0.0,8.0,3.2222222222222223,
feedback_text,object,109,35,0.3211009174311927,64,False,,,,"The attention checks were very hard to distinguish since they were put in the same color boxes as the prompt, which was the same for each round. I think it should have been a bit more clear of an attention check. ; No; This was interesting. Even a small change in a description can cause perspective to change or tip slightly. Everything was clear. Thank you.; no issues; none"
experiment_version,object,109,0,0.0,1,False,,,,1.0.0
completion_status,object,109,0,0.0,1,False,,,,completed
terminated_early,bool,109,0,0.0,1,False,0.0,0.0,0.0,
n_speaker_trials,int64,109,0,0.0,1,False,30.0,30.0,30.0,
inf_n_trials,int64,109,0,0.0,1,False,10.0,10.0,10.0,
persp_n_trials,int64,109,0,0.0,1,False,10.0,10.0,10.0,
persp_r1_num_effective,float64,109,0,0.0,1,False,0.0,0.0,0.0,
persp_r1_variant,float64,109,0,0.0,1,False,0.0,0.0,0.0,
persp_r1_positions,object,109,0,0.0,1,False,,,,[]
persp_r5_num_effective,float64,109,0,0.0,1,False,1.0,1.0,1.0,
persp_r7_num_effective,float64,109,0,0.0,1,False,1.0,1.0,1.0,
persp_r8_num_effective,float64,109,0,0.0,1,False,2.0,2.0,2.0,
persm_n_trials,int64,109,0,0.0,1,False,10.0,10.0,10.0,
persm_r1_num_effective,float64,109,0,0.0,1,False,5.0,5.0,5.0,
persm_r1_variant,float64,109,0,0.0,1,False,0.0,0.0,0.0,
persm_r1_positions,object,109,0,0.0,1,False,,,,"[0,1,2,3,4]"
persm_r2_num_effective,float64,109,0,0.0,1,False,3.0,3.0,3.0,
persm_r3_num_effective,float64,109,0,0.0,1,False,5.0,5.0,5.0,
persm_r3_variant,float64,109,0,0.0,1,False,0.0,0.0,0.0,
persm_r3_positions,object,109,0,0.0,1,False,,,,"[0,1,2,3,4]"
persm_r6_num_effective,float64,109,0,0.0,1,False,4.0,4.0,4.0,
persm_r8_num_effective,float64,109,0,0.0,1,False,4.0,4.0,4.0,
persm_r10_num_effective,float64,109,0,0.0,1,False,3.0,3.0,3.0,
inf_is_complete,bool,109,0,0.0,1,False,1.0,1.0,1.0,
persp_is_complete,bool,109,0,0.0,1,False,1.0,1.0,1.0,
persm_is_complete,bool,109,0,0.0,1,False,1.0,1.0,1.0,
_merge,category,109,0,0.0,1,False,,,,both
study,object,109,0,0.0,2,False,,,,pilot; main
attention_total_failures,int64,109,0,0.0,2,False,0.0,1.0,0.06422018348623854,
attention_block_1_passed,object,109,0,0.0,2,False,,,,True; False
attention_block_2_passed,object,109,0,0.0,2,False,,,,True; False
attention_block_3_passed,object,109,0,0.0,2,False,,,,True; False
comp1_some_correct,bool,109,0,0.0,2,False,0.0,1.0,0.3944954128440367,
comp1_most_correct,bool,109,0,0.0,2,False,0.0,1.0,0.6605504587155964,
comp2_1_correct,bool,109,0,0.0,2,False,0.0,1.0,0.9541284403669725,
comp2_1_num_effective,int64,109,0,0.0,2,False,1.0,3.0,1.9724770642201834,
comp2_1_statement,object,109,0,0.0,2,False,,,,The treatment was ineffective for all patients.; The treatment was ineffective for some patients.
comp2_2_correct,bool,109,0,0.0,2,False,0.0,1.0,0.963302752293578,
comp2_2_num_effective,int64,109,0,0.0,2,False,1.0,3.0,2.0275229357798166,
comp2_2_statement,object,109,0,0.0,2,False,,,,The treatment was ineffective for some patients.; The treatment was ineffective for all patients.
comp3_correct,bool,109,0,0.0,2,False,0.0,1.0,0.6146788990825688,
inf_role_comp_correct,bool,109,0,0.0,2,False,0.0,1.0,0.926605504587156,
persp_role_comp_correct,object,109,0,0.0,2,False,,,,True; False
persm_role_comp_correct,object,109,0,0.0,2,False,,,,True; False
inf_r1_num_effective,float64,109,0,0.0,2,False,0.0,4.0,2.018348623853211,
inf_r1_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r2_num_effective,float64,109,0,0.0,2,False,2.0,5.0,3.5137614678899083,
inf_r2_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r3_num_effective,float64,109,0,0.0,2,False,1.0,3.0,2.0091743119266057,
inf_r3_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r3_quantifier,object,109,0,0.0,2,False,,,,Most; Some
inf_r4_num_effective,float64,109,0,0.0,2,False,2.0,4.0,3.0091743119266057,
inf_r4_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r4_quantifier,object,109,0,0.0,2,False,,,,Some; Most
inf_r5_num_effective,float64,109,0,0.0,2,False,1.0,5.0,3.018348623853211,
inf_r5_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r6_num_effective,float64,109,0,0.0,2,False,2.0,4.0,3.0091743119266057,
inf_r6_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r6_quantifier,object,109,0,0.0,2,False,,,,Some; Most
inf_r7_num_effective,float64,109,0,0.0,2,False,1.0,3.0,2.0091743119266057,
inf_r7_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r7_quantifier,object,109,0,0.0,2,False,,,,Most; Some
inf_r8_num_effective,float64,109,0,0.0,2,False,2.0,4.0,3.0091743119266057,
inf_r8_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r8_quantifier,object,109,0,0.0,2,False,,,,Some; Most
inf_r9_num_effective,float64,109,0,0.0,2,False,2.0,3.0,2.4954128440366974,
inf_r9_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
inf_r9_quantifier,object,109,0,0.0,2,False,,,,Some; Most
inf_r10_num_effective,float64,109,0,0.0,2,False,1.0,4.0,2.5137614678899083,
inf_r10_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
inf_r10_quantifier,object,109,0,0.0,2,False,,,,Most; Some
persp_r1_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persp_r2_num_effective,float64,109,0,0.0,2,False,1.0,2.0,1.4495412844036697,
persp_r2_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r2_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persp_r3_num_effective,float64,109,0,0.0,2,False,0.0,1.0,0.44954128440366975,
persp_r3_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r4_num_effective,float64,109,0,0.0,2,False,2.0,3.0,2.55045871559633,
persp_r4_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r4_quantifier,object,109,0,0.0,2,False,,,,Most; Some
persp_r5_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r5_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persp_r6_num_effective,float64,109,0,0.0,2,False,0.0,2.0,0.8990825688073395,
persp_r6_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persp_r7_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r7_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persp_r8_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r8_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persp_r9_num_effective,float64,109,0,0.0,2,False,1.0,3.0,1.8990825688073394,
persp_r9_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r9_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persp_r10_num_effective,float64,109,0,0.0,2,False,1.0,2.0,1.5504587155963303,
persp_r10_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persp_r10_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persm_r1_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persm_r2_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persm_r2_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persm_r3_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persm_r4_num_effective,float64,109,0,0.0,2,False,3.0,4.0,3.5137614678899083,
persm_r4_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persm_r4_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persm_r5_num_effective,float64,109,0,0.0,2,False,2.0,5.0,3.541284403669725,
persm_r5_predicate,object,109,0,0.0,2,False,,,,Effective; Ineffective
persm_r6_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persm_r6_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persm_r7_num_effective,float64,109,0,0.0,2,False,2.0,3.0,2.4862385321100917,
persm_r7_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persm_r7_quantifier,object,109,0,0.0,2,False,,,,Most; Some
persm_r8_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persm_r8_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persm_r9_num_effective,float64,109,0,0.0,2,False,3.0,4.0,3.5137614678899083,
persm_r9_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persm_r9_quantifier,object,109,0,0.0,2,False,,,,Some; Most
persm_r10_predicate,object,109,0,0.0,2,False,,,,Ineffective; Effective
persm_r10_quantifier,object,109,0,0.0,2,False,,,,Some; Most
inf_literal_ll,float64,109,0,0.0,2,False,-11.561487031584658,-11.273804959132878,-11.41896563789295,
persp_literal_ll,float64,109,0,0.0,2,False,-11.849169104036438,-11.273804959132878,-11.590519167336668,
persm_literal_ll,float64,109,0,0.0,2,False,-11.849169104036438,-11.561487031584658,-11.709286995413096,
block_1_scenario,object,109,0,0.0,3,False,,,,pers_minus; informative; pers_plus
block_2_scenario,object,109,0,0.0,3,False,,,,pers_plus; pers_minus; informative
block_3_scenario,object,109,0,0.0,3,False,,,,informative; pers_plus; pers_minus
inf_r2_quantifier,object,109,0,0.0,3,False,,,,Some; Most; All
inf_r5_quantifier,object,109,0,0.0,3,False,,,,Most; All; Some
